,Company Common Name,RIC,ISIN,Organization PermID,Exchange Name,TRBC Economic Sector Name,TRBC Business Sector Name,Delisted Quote Flag
0,UniCredit Bank GmbH,HVMG.F^I08,DE0008022005,5000048673,Frankfurt Stock Exchange,Financials,Banking & Investment Services,True
1,Lieken GmbH,KAMG.F^D04,DE0006280605,4295869499,Frankfurt Stock Exchange,Consumer Non-Cyclicals,Food & Beverages,True
2,AS Creation Tapeten AG,ACWNn.F,DE000A1TNNN5,4295869436,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Products,False
3,LUDWIG BECK am Rathauseck Textilhaus Feldmeier AG,ECKG.F,DE0005199905,4295869514,Frankfurt Stock Exchange,Consumer Cyclicals,Retailers,False
4,Creaton GmbH,CRNG_p.F^I16,DE0005483036,4295869197,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Products,True
5,Winkler und Duennebier GmbH,WDBG.F^E10,DE0007790008,5037611441,Frankfurt Stock Exchange,Industrials,Industrial Goods,True
6,Hawesko Holding SE,HAWG.F,DE0006042708,4295869475,Frankfurt Stock Exchange,Technology,Software & IT Services,False
7,Gesco SE,GSC1n.F,DE000A1K0201,4295869462,Frankfurt Stock Exchange,Industrials,Industrial Goods,False
8,QUANTE GmbH,QUAG_p.F^C06,DE0006975634,5000056963,Frankfurt Stock Exchange,,,True
9,Sartorius AG,SATG_p.F,DE0007165631,4295868872,Frankfurt Stock Exchange,Healthcare,Healthcare Services & Equipment,False
10,Sartorius AG,SATG.F,DE0007165607,4295868872,Frankfurt Stock Exchange,Healthcare,Healthcare Services & Equipment,False
11,Ahlers AG,AAHG.F^G26,DE0005009740,4295868722,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Products,True
12,Moebel Walther AG,MWAG.F^I10,DE0006620909,4295869367,Frankfurt Stock Exchange,Consumer Cyclicals,Retailers,True
13,Moebel Walther AG,MWAG_p.F^I10,DE0006620933,4295869367,Frankfurt Stock Exchange,Consumer Cyclicals,Retailers,True
14,Bausch AG,BAHG.F^H00,DE0005175905,5000089829,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Products,True
15,Bau Verein zu Hamburg Immobilien GmbH,BVHG.F^K12,DE0005179006,5040703035,Frankfurt Stock Exchange,Real Estate,Real Estate,True
16,Ahlers AG,AAHG_p.F^G18,DE0005009732,4295868722,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Products,True
17,Jenoptik AG,JENGn.F,DE000A2NB601,4295869506,Frankfurt Stock Exchange,Technology,Technology Equipment,False
