Date,Price Close
1998-04-09,455.77
1998-04-14,463.66
1998-04-15,463.54
1998-04-16,458.94
1998-04-17,454.38
1998-04-20,464.15
1998-04-21,461.67
1998-04-22,462.73
1998-04-23,455.6
1998-04-24,447.25
1998-04-27,441.38
1998-04-28,436.8
1998-04-29,442.97
1998-04-30,443.08
1998-05-04,456.22
1998-05-05,452.87
1998-05-06,451.04
1998-05-07,449.48
1998-05-08,453.12
1998-05-11,459.19
1998-05-12,456.87
1998-05-13,460.91
1998-05-14,461.48
1998-05-15,463.72
1998-05-18,461.54
1998-05-19,464.19
1998-05-20,469.34
1998-05-22,474.13
1998-05-25,477.41
1998-05-26,482.51
1998-05-27,471.48
1998-05-28,471.46
1998-05-29,474.94
1998-06-02,477.05
1998-06-03,480.86
1998-06-04,479.02
1998-06-05,484.86
1998-06-08,491.91
1998-06-09,490.94
1998-06-10,488.57
1998-06-12,482.62
1998-06-15,472.81
1998-06-16,475.73
1998-06-17,482.28
1998-06-18,484.19
1998-06-19,482.64
1998-06-22,477.84
1998-06-23,482.31
1998-06-24,485.48
1998-06-25,493.11
1998-06-26,494.06
1998-06-29,497.91
1998-06-30,494.63
1998-07-01,494.79
1998-07-02,498.72
1998-07-03,500.07
1998-07-06,500.49
1998-07-07,503.93
1998-07-08,504.04
1998-07-09,507.52
1998-07-10,502.64
1998-07-13,507.9
1998-07-14,509.66
1998-07-15,514.33
1998-07-16,514.53
1998-07-17,516.11
1998-07-20,517.9
1998-07-21,520.13
1998-07-22,515.76
1998-07-23,510.4
1998-07-24,505.86
1998-07-27,499.28
1998-07-28,497.88
1998-07-29,493.99
1998-07-30,495.11
1998-07-31,497.85
1998-08-03,487.88
1998-08-04,487.11
1998-08-05,474.14
1998-08-06,470.17
1998-08-07,472.63
1998-08-10,468.21
1998-08-11,451.75
1998-08-12,457.4
1998-08-13,449.62
1998-08-14,457.31
1998-08-17,456.79
1998-08-18,467.75
1998-08-19,475.47
1998-08-20,467.76
1998-08-21,444.91
1998-08-24,443.53
1998-08-25,452.73
1998-08-26,447.06
1998-08-27,432.18
1998-08-28,411.38
1998-08-31,416.37
1998-09-01,405.21
1998-09-02,422.66
1998-09-03,411.01
1998-09-04,412.13
1998-09-07,420.45
1998-09-08,425.74
1998-09-09,430.38
1998-09-10,410.93
1998-09-11,402.44
1998-09-14,417.76
1998-09-15,413.88
1998-09-16,417.64
1998-09-17,400.89
1998-09-18,395.47
1998-09-21,380.62
1998-09-22,392.07
1998-09-23,395.0
1998-09-24,400.85
1998-09-25,388.49
1998-09-28,394.14
1998-09-29,395.71
1998-09-30,387.26
1998-10-01,362.11
1998-10-02,342.86
1998-10-05,343.79
1998-10-06,347.34
1998-10-07,351.71
1998-10-08,337.88
1998-10-09,343.13
1998-10-12,354.79
1998-10-13,363.03
1998-10-14,363.94
1998-10-15,374.6
1998-10-16,381.03
1998-10-19,382.5
1998-10-20,387.51
1998-10-21,389.75
1998-10-22,385.66
1998-10-23,384.73
1998-10-26,386.54
1998-10-27,397.46
1998-10-28,392.11
1998-10-29,390.16
1998-10-30,398.02
1998-11-02,405.78
1998-11-03,406.03
1998-11-04,408.02
1998-11-05,411.11
1998-11-06,415.1
1998-11-09,410.79
1998-11-10,404.05
1998-11-11,406.23
1998-11-12,402.17
1998-11-13,400.69
1998-11-16,405.42
1998-11-17,406.01
1998-11-18,405.93
1998-11-19,406.65
1998-11-20,414.1
1998-11-23,423.22
1998-11-24,424.23
1998-11-25,422.31
1998-11-26,424.43
1998-11-27,428.73
1998-11-30,428.84
1998-12-01,412.17
1998-12-02,406.07
1998-12-03,400.9
1998-12-04,406.69
1998-12-07,408.34
1998-12-08,404.48
1998-12-09,402.58
1998-12-10,401.27
1998-12-11,393.97
1998-12-14,390.36
1998-12-15,394.52
1998-12-16,400.85
1998-12-17,404.96
1998-12-18,403.8
1998-12-21,406.28
1998-12-22,413.67
1998-12-23,418.16
1998-12-28,427.27
1998-12-29,427.36
1998-12-30,428.64
1999-01-04,427.67
1999-01-05,440.09
1999-01-06,451.23
1999-01-07,448.82
1999-01-08,454.63
1999-01-11,448.52
1999-01-12,443.56
1999-01-13,419.31
1999-01-14,424.31
1999-01-15,414.68
1999-01-18,433.14
1999-01-19,429.94
1999-01-20,437.64
1999-01-21,439.35
1999-01-22,428.05
1999-01-25,423.05
1999-01-26,427.51
1999-01-27,433.94
1999-01-28,428.62
1999-01-29,438.52
1999-02-01,444.5
1999-02-02,441.85
1999-02-03,434.97
1999-02-04,437.02
1999-02-05,431.45
1999-02-08,433.7
1999-02-09,425.36
1999-02-10,415.08
1999-02-11,418.52
1999-02-12,425.59
1999-02-15,420.78
1999-02-16,425.51
1999-02-17,418.61
1999-02-18,419.07
1999-02-19,419.28
1999-02-22,420.71
1999-02-23,427.74
1999-02-24,429.57
1999-02-25,428.28
1999-02-26,423.08
1999-03-01,417.07
1999-03-02,412.07
1999-03-03,410.82
1999-03-04,403.22
1999-03-05,412.52
1999-03-08,415.48
1999-03-09,411.29
1999-03-10,408.23
1999-03-11,409.97
1999-03-12,428.37
1999-03-15,429.73
1999-03-16,432.79
1999-03-17,434.11
1999-03-18,429.28
1999-03-19,434.74
1999-03-22,431.5
1999-03-23,422.67
1999-03-24,411.53
1999-03-25,415.35
1999-03-26,412.17
1999-03-29,414.89
1999-03-30,417.14
1999-03-31,418.21
1999-04-01,414.31
1999-04-06,424.74
1999-04-07,427.28
1999-04-08,428.68
1999-04-09,435.39
1999-04-12,433.21
1999-04-13,440.7
1999-04-14,439.44
1999-04-15,439.04
1999-04-16,438.53
1999-04-19,440.11
1999-04-20,434.13
1999-04-21,435.93
1999-04-22,441.25
1999-04-23,440.83
1999-04-26,441.77
1999-04-27,446.35
1999-04-28,449.75
1999-04-29,448.1
1999-04-30,450.38
1999-05-03,453.07
1999-05-04,455.87
1999-05-05,450.3
1999-05-06,448.55
1999-05-07,445.5
1999-05-10,443.15
1999-05-11,445.62
1999-05-12,444.48
1999-05-14,441.85
1999-05-17,435.4
1999-05-18,437.36
1999-05-19,439.34
1999-05-20,444.44
1999-05-21,445.27
1999-05-25,439.19
1999-05-26,437.63
1999-05-27,434.77
1999-05-28,430.37
1999-05-31,432.56
1999-06-01,431.68
1999-06-02,429.03
1999-06-04,433.07
1999-06-07,436.63
1999-06-08,443.81
1999-06-09,441.3
1999-06-10,443.27
1999-06-11,443.58
1999-06-14,446.92
1999-06-15,445.15
1999-06-16,449.35
1999-06-17,455.17
1999-06-18,458.12
1999-06-21,455.66
1999-06-22,458.78
1999-06-23,457.01
1999-06-24,453.17
1999-06-25,450.66
1999-06-28,450.55
1999-06-29,454.14
1999-06-30,456.56
1999-07-01,461.25
1999-07-02,464.37
1999-07-05,469.28
1999-07-06,473.36
1999-07-07,471.91
1999-07-08,472.7
1999-07-09,475.65
1999-07-12,478.92
1999-07-13,473.13
1999-07-14,474.74
1999-07-15,476.88
1999-07-16,476.3
1999-07-19,478.39
1999-07-20,470.4
1999-07-21,463.91
1999-07-22,457.92
1999-07-23,456.01
1999-07-26,445.74
1999-07-27,446.75
1999-07-28,448.89
1999-07-29,436.46
1999-07-30,436.47
1999-08-02,430.92
1999-08-03,436.6
1999-08-04,437.56
1999-08-05,428.32
1999-08-06,430.43
1999-08-09,431.0
1999-08-10,430.64
1999-08-11,432.89
1999-08-12,436.7
1999-08-13,439.38
1999-08-16,447.57
1999-08-17,449.36
1999-08-18,448.43
1999-08-19,444.31
1999-08-20,446.64
1999-08-23,451.09
1999-08-24,451.77
1999-08-25,453.85
1999-08-26,457.56
1999-08-27,455.68
1999-08-30,458.18
1999-08-31,451.08
1999-09-01,451.59
1999-09-02,445.37
1999-09-03,446.35
1999-09-06,455.83
1999-09-07,458.42
1999-09-08,455.9
1999-09-09,458.57
1999-09-10,462.73
1999-09-13,463.41
1999-09-14,459.7
1999-09-15,456.04
