Date,Calculated PE Ratio,Calculated Index Dividend Yield,Calculated Price to Book,Calculated Index Market Capitalisation
1998-04-17,29.71,2.19,2.86,915758304959.531
1998-04-20,30.62,2.13,2.93,942217537488.432
1998-04-21,30.79,2.12,2.94,936377781593.492
1998-04-22,30.64,2.13,2.92,933050604199.24
1998-04-23,30.12,2.17,2.85,916615160703.129
1998-04-24,29.43,2.21,2.8,899514931131.54
1998-04-27,29.08,2.23,2.77,889569233187.956
1998-04-28,28.68,2.26,2.73,880962038553.453
1998-04-29,29.14,2.23,2.77,896698374574.989
1998-04-30,29.16,2.22,2.77,896890807877.474
1998-05-01,29.13,2.22,2.77,896890807877.474
1998-05-04,30.15,2.15,2.86,925483484230.736
1998-05-05,29.66,2.18,2.82,912953585493.115
1998-05-06,29.41,2.19,2.82,911945375734.087
1998-05-07,29.11,2.21,2.82,903664782711.688
1998-05-08,29.45,2.18,2.81,913957701106.947
1998-05-11,29.92,2.15,2.85,926111590559.507
1998-05-12,29.77,2.17,2.82,919568835242.838
1998-05-13,30.24,2.14,2.83,928881972578.394
1998-05-14,30.2,2.14,2.81,928135635014.802
1998-05-15,30.29,2.13,2.82,932608045944.688
1998-05-18,30.13,2.15,2.8,925867485250.252
1998-05-19,30.32,2.13,2.81,933286241867.647
1998-05-20,30.87,2.1,2.85,945629084372.875
1998-05-21,30.85,2.1,2.85,945629084372.875
1998-05-22,31.08,2.09,2.87,952723089699.002
1998-05-25,31.16,2.08,2.87,953394884530.353
1998-05-26,31.49,2.06,2.9,962559709340.791
1998-05-27,30.71,2.11,2.83,941690171430.544
1998-05-28,30.44,2.13,2.81,934065147234.167
1998-05-29,30.85,2.1,2.84,944482279417.434
1998-06-01,30.72,2.09,2.82,944520524050.148
1998-06-02,30.72,2.1,2.82,945582038335.643
1998-06-03,30.87,2.08,2.83,950827037698.573
1998-06-04,30.59,2.16,2.8,943557770408.982
1998-06-05,30.75,2.17,2.76,930327086227.331
1998-06-08,30.96,2.15,2.79,942044167289.591
1998-06-09,30.68,2.15,2.77,935499776694.293
1998-06-10,30.68,2.16,2.77,935845606945.389
1998-06-11,30.68,2.15,2.77,935845606945.389
1998-06-12,30.27,2.17,2.76,952153876711.677
1998-06-15,29.58,2.23,2.69,930796782251.014
1998-06-16,29.79,2.21,2.73,937779961282.934
1998-06-17,30.36,2.17,2.78,953573237988.475
1998-06-18,30.39,2.16,2.79,955566263928.358
1998-06-19,30.27,2.17,2.78,952453341808.337
1998-06-22,30.05,2.12,2.76,945744968638.89
1998-06-23,30.29,2.04,2.77,954406398742.733
1998-06-24,30.75,2.15,2.79,962369251857.779
1998-06-25,31.16,2.13,2.82,974057712405.986
1998-06-26,31.19,0.85,2.82,975224749811.589
1998-06-29,31.38,2.11,2.84,980832641047.535
1998-06-30,31.29,2.13,2.83,979195702570.264
1998-07-01,31.37,2.02,2.84,981140071526.155
1998-07-02,31.37,2.12,2.84,984050070191.683
1998-07-03,31.58,2.1,2.85,991604574737.579
1998-07-06,31.78,2.16,2.77,962186907095.198
1998-07-07,31.93,2.15,2.78,967054411476.969
1998-07-08,32.41,2.04,2.11,978027987848.126
1998-07-09,32.39,2.05,2.11,977403059104.83
1998-07-10,32.32,2.05,2.1,977278222045.372
1998-07-13,32.47,2.04,2.11,984837922693.69
1998-07-14,32.82,1.86,2.13,994331159999.08
1998-07-15,32.89,1.86,2.14,997411575635.919
1998-07-16,32.83,1.87,2.13,994897578671.459
1998-07-17,33.11,1.85,2.15,1004530647556.79
1998-07-20,33.23,1.84,3.05,1041293093311.79
1998-07-21,33.19,1.85,3.05,1039106470903.91
1998-07-22,32.9,1.85,3.02,1029679796876.52
1998-07-23,32.64,1.87,3.0,1020653436093.12
1998-07-24,32.55,1.88,2.99,1017652739334.71
1998-07-27,31.83,1.92,2.92,995994531678.622
1998-07-28,31.75,1.93,2.92,994903569618.525
1998-07-29,31.55,1.93,2.9,988850833873.598
1998-07-30,31.67,1.92,2.91,994241990056.396
1998-07-31,31.66,1.92,2.92,993484627694.636
1998-08-03,31.22,1.95,2.87,974900065563.981
1998-08-04,31.21,1.95,2.88,976132268709.959
1998-08-05,30.57,2.0,2.82,955423952618.581
1998-08-06,30.0,2.04,2.77,937154800871.241
