ISIN,Date,Price Close,Total Return,Turnover,Volume
DE0001262152,1998-11-27,214.6639756029,8.1395348837,,
DE0001262152,1998-11-30,,,,0.0
DE0001262152,1998-12-01,180.6178074293,-15.8602150538,,720.0
DE0001262152,1998-12-02,201.96879425,11.821086262,,798.0
DE0001262152,1998-12-03,205.4311164371,1.7142857143,,221.0
DE0001262152,1998-12-04,207.7393312286,1.1235955056,,582.0
DE0001262152,1998-12-07,217.0876011339,4.5,,879.0
DE0001262152,1998-12-08,213.5098682071,-1.6480595428,,86.0
DE0001262152,1998-12-09,213.5098682071,0.0,,687.0
DE0001262152,1998-12-10,213.5098682071,0.0,,221.0
DE0001262152,1998-12-11,207.7393312286,-2.7027027027,,623.0
DE0001262152,1998-12-14,200.2953385262,-3.5833333333,,114.0
DE0001262152,1998-12-15,205.4311164371,2.5641025641,,106.0
DE0001262152,1998-12-16,212.3557608114,3.3707865169,,118.0
DE0001262152,1998-12-17,204.2770090414,-3.8043478261,,5.0
DE0001262152,1998-12-18,199.0835257607,-2.5423728814,,290.0
DE0001262152,1998-12-21,227.9362106536,14.4927536232,,509.0
DE0001262152,1998-12-22,256.2118418486,12.4050632911,,1519.0
DE0001262152,1998-12-23,244.5553571519,-4.5495495495,,1063.0
DE0001262152,1998-12-28,241.7854994021,-1.1326097216,,808.0
DE0001262152,1998-12-29,241.7854994021,0.0,,526.0
DE0001262152,1998-12-30,246.401928985,1.9093078759,,540.0
DE0005000509,1998-04-09,,,,
DE0005000509,1998-04-14,,,,
DE0005000509,1998-04-15,,,,
DE0005000509,1998-04-16,,,,
DE0005000509,1998-04-17,,,,
DE0005000509,1998-04-20,,,,
DE0005000509,1998-04-21,,,,
DE0005000509,1998-04-22,,,,
DE0005000509,1998-04-23,,,,
DE0005000509,1998-04-24,,,,
DE0005000509,1998-04-27,,,,
DE0005000509,1998-04-28,,,,
DE0005000509,1998-04-29,,,,
DE0005000509,1998-04-30,,,,
DE0005000509,1998-05-04,,,,0.0
DE0005000509,1998-05-05,,,,
DE0005000509,1998-05-06,,,,0.0
DE0005000509,1998-05-07,,,,0.0
DE0005000509,1998-05-08,,,,
DE0005000509,1998-05-11,,,,
DE0005000509,1998-05-12,,,,
DE0005000509,1998-05-13,,,,
DE0005000509,1998-05-14,,,,
DE0005000509,1998-05-15,,,,
DE0005000509,1998-05-18,,,,
DE0005000509,1998-05-19,,,,
DE0005000509,1998-05-20,,,,
DE0005000509,1998-05-22,,,,
DE0005000509,1998-05-25,,,,
DE0005000509,1998-05-26,,,,
DE0005000509,1998-05-27,,,,
DE0005000509,1998-05-28,,,,
DE0005000509,1998-05-29,,,,
DE0005000509,1998-06-02,,,,0.0
DE0005000509,1998-06-03,,,,0.0
DE0005000509,1998-06-04,,,,
DE0005000509,1998-06-05,,,,
DE0005000509,1998-06-08,,,,
DE0005000509,1998-06-09,,,,
DE0005000509,1998-06-10,,,,
DE0005000509,1998-06-12,,,,
DE0005000509,1998-06-15,,,,
DE0005000509,1998-06-16,,,,
DE0005000509,1998-06-17,,,,
DE0005000509,1998-06-18,,,,
DE0005000509,1998-06-19,,,,
DE0005000509,1998-06-22,,,,
DE0005000509,1998-06-23,,,,
DE0005000509,1998-06-24,,,,
DE0005000509,1998-06-25,,,,
DE0005000509,1998-06-26,,,,
DE0005000509,1998-06-29,,,,
DE0005000509,1998-06-30,,,,
DE0005000509,1998-07-01,,,,0.0
DE0005000509,1998-07-02,,,,0.0
DE0005000509,1998-07-03,,,,
DE0005000509,1998-07-06,,,,
DE0005000509,1998-07-07,,,,
DE0005000509,1998-07-08,,,,
DE0005000509,1998-07-09,,,,
DE0005000509,1998-07-10,,,,
DE0005000509,1998-07-13,,,,
DE0005000509,1998-07-14,,,,
DE0005000509,1998-07-15,,,,
DE0005000509,1998-07-16,,,,
DE0005000509,1998-07-17,,,,
DE0005000509,1998-07-20,,,,
DE0005000509,1998-07-21,,,,
DE0005000509,1998-07-22,,,,
DE0005000509,1998-07-23,,,,
DE0005000509,1998-07-24,,,,
DE0005000509,1998-07-27,,,,
DE0005000509,1998-07-28,,,,
DE0005000509,1998-07-29,,,,
DE0005000509,1998-07-30,,,,
DE0005000509,1998-07-31,,,,
DE0005000509,1998-08-03,,,,
DE0005000509,1998-08-04,,,,
DE0005000509,1998-08-05,,,,
DE0005000509,1998-08-06,,,,
DE0005000509,1998-08-07,,,,
DE0005000509,1998-08-10,,,,
DE0005000509,1998-08-11,,,,
DE0005000509,1998-08-12,,,,
DE0005000509,1998-08-13,,,,0.0
DE0005000509,1998-08-14,,,,0.0
DE0005000509,1998-08-17,,,,0.0
DE0005000509,1998-08-18,,,,0.0
DE0005000509,1998-08-19,,,,0.0
DE0005000509,1998-08-20,,,,0.0
DE0005000509,1998-08-21,,,,0.0
DE0005000509,1998-08-24,,,,0.0
DE0005000509,1998-08-25,,,,
DE0005000509,1998-08-26,,,,
DE0005000509,1998-08-27,,,,
DE0005000509,1998-08-28,,,,
DE0005000509,1998-08-31,,,,
DE0005000509,1998-09-01,,,,0.0
DE0005000509,1998-09-02,,,,0.0
DE0005000509,1998-09-03,,,,0.0
DE0005000509,1998-09-04,,,,0.0
DE0005000509,1998-09-07,,,,
DE0005000509,1998-09-08,,,,
DE0005000509,1998-09-09,,,,
DE0005000509,1998-09-10,,,,
DE0005000509,1998-09-11,,,,
DE0005000509,1998-09-14,,,,0.0
DE0005000509,1998-09-15,,,,0.0
DE0005000509,1998-09-16,,,,0.0
DE0005000509,1998-09-17,,,,0.0
DE0005000509,1998-09-18,,,,0.0
DE0005000509,1998-09-21,,,,0.0
DE0005000509,1998-09-22,,,,0.0
